,Year,Kilometers_Driven,Owner_Type,Seats,Mileage(km/kg),Engine(CC),Power(bhp),Location_Bangalore,Location_Chennai,Location_Coimbatore,Location_Delhi,Location_Hyderabad,Location_Jaipur,Location_Kochi,Location_Kolkata,Location_Mumbai,Location_Pune,Fuel_Type_Diesel,Fuel_Type_LPG,Fuel_Type_Petrol,Transmission_Manual
4433,2013,79663,1,5.0,16.8,1493.0,110.0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
4332,2018,4500,1,5.0,18.9,1197.0,81.86,0,0,0,0,0,0,0,1,0,0,0,0,1,1
4027,2014,21000,1,5.0,23.1,998.0,67.04,0,0,0,0,0,0,0,0,1,0,0,0,1,1
3542,2014,54862,1,5.0,17.68,1968.0,174.33,0,0,0,0,0,0,1,0,0,0,1,0,0,0
3181,2015,7501,1,4.0,10.0,2996.0,333.0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
942,2014,28246,2,5.0,17.8,1198.0,86.7,0,0,1,0,0,0,0,0,0,0,0,0,1,1
3003,2013,44000,1,5.0,14.16,1968.0,174.3,0,1,0,0,0,0,0,0,0,0,1,0,0,0
4931,2017,58829,1,5.0,24.3,1248.0,88.5,0,0,1,0,0,0,0,0,0,0,1,0,0,1
1001,2012,80000,1,5.0,11.25,1995.0,150.0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
4643,2016,64624,1,5.0,21.1,814.0,55.2,0,0,1,0,0,0,0,0,0,0,0,0,1,1
4624,2014,65000,1,5.0,13.7,1798.0,157.75,0,0,0,1,0,0,0,0,0,0,0,0,1,0
5285,2013,85350,2,5.0,22.32,1582.0,126.32,0,1,0,0,0,0,0,0,0,0,1,0,0,1
5733,2017,23700,1,7.0,17.5,1373.0,80.46,0,0,0,0,0,0,0,0,1,0,0,0,0,1
1873,2014,81000,1,7.0,15.1,2179.0,140.0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
4455,2012,80000,1,5.0,21.27,1396.0,88.76,0,0,0,0,1,0,0,0,0,0,1,0,0,1
3034,2009,47000,1,5.0,19.0,998.0,67.1,0,0,0,0,0,0,0,0,1,0,0,0,1,1
1466,2014,41089,1,5.0,16.09,1995.0,184.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
3829,2015,100000,1,5.0,13.5,2400.0,215.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
122,2009,28352,1,5.0,11.7,1796.0,178.0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
5704,2013,35000,1,5.0,16.73,2993.0,218.0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
1622,2008,82000,2,5.0,18.7,1896.0,66.0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
5323,2014,28000,1,5.0,13.0,2987.0,258.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
1547,2015,19600,1,5.0,15.0,1598.0,103.52,0,0,0,0,0,0,0,0,1,0,0,0,1,1
51,2014,52000,1,5.0,22.9,1248.0,74.0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
4780,2015,68525,1,5.0,23.0,1396.0,90.0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
5137,2012,58200,1,7.0,14.66,2199.0,194.3,0,0,0,0,0,0,0,0,0,0,1,0,0,1
4933,2013,55000,1,5.0,17.5,1298.0,85.8,0,0,0,0,0,0,0,0,0,1,0,0,1,1
5856,2015,67600,1,5.0,23.1,998.0,67.04,1,0,0,0,0,0,0,0,0,0,0,0,1,1
1587,2017,32838,1,5.0,17.05,1995.0,190.0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
3741,2016,42000,1,7.0,25.47,1248.0,88.5,0,0,0,0,1,0,0,0,0,0,1,0,0,1
2654,2014,58310,2,5.0,19.1,1197.0,85.8,0,0,1,0,0,0,0,0,0,0,0,0,1,1
4895,2013,30852,1,5.0,22.74,796.0,47.3,0,0,0,0,1,0,0,0,0,0,0,0,1,1
4599,2014,250000,1,8.0,12.99,2494.0,100.6,0,1,0,0,0,0,0,0,0,0,1,0,0,1
260,2017,51982,1,5.0,16.55,2993.0,258.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
2108,2016,13418,1,5.0,16.36,2179.0,187.7,0,0,0,0,0,0,1,0,0,0,1,0,0,0
2980,2014,51076,1,7.0,12.07,2967.0,241.4,0,0,1,0,0,0,0,0,0,0,1,0,0,0
5289,2014,108000,1,5.0,25.2,1248.0,74.0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
2442,2018,11000,1,5.0,16.1,1950.0,194.0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
2014,2015,41000,1,5.0,19.67,1582.0,126.2,0,1,0,0,0,0,0,0,0,0,1,0,0,1
2213,2015,34000,1,5.0,23.8,1998.0,112.0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
4417,2013,100000,1,7.0,12.0,2987.0,224.0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
2711,2018,25093,1,5.0,21.4,1197.0,83.1,0,0,1,0,0,0,0,0,0,0,0,0,1,1
1391,2017,25095,1,5.0,18.16,1196.0,86.8,0,0,1,0,0,0,0,0,0,0,0,0,1,1
3743,2016,19008,1,5.0,17.0,1197.0,80.0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
1937,2014,48000,1,5.0,22.69,1995.0,190.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
651,2015,59000,1,7.0,20.77,1248.0,88.8,0,0,0,0,1,0,0,0,0,0,1,0,0,1
4603,2013,92250,2,5.0,22.7,1498.0,89.84,0,0,0,0,0,1,0,0,0,0,1,0,0,1
3954,2015,59751,1,5.0,23.1,998.0,67.04,0,0,1,0,0,0,0,0,0,0,0,0,1,0
3449,2009,86863,1,5.0,17.0,1497.0,118.0,0,0,0,0,0,1,0,0,0,0,0,0,1,1
2668,2017,38426,1,5.0,24.3,1248.0,88.5,0,0,0,0,0,0,1,0,0,0,1,0,0,1
2921,2014,29000,1,5.0,23.4,1248.0,74.0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
4911,2009,99100,2,5.0,9.74,1984.0,208.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4030,2013,8950,1,5.0,17.71,1197.0,78.9,0,0,0,0,0,0,0,0,1,0,0,0,1,1
3224,2014,70010,1,5.0,20.54,1598.0,103.6,0,1,0,0,0,0,0,0,0,0,1,0,0,1
1360,2015,92708,1,5.0,22.7,1498.0,89.84,0,0,1,0,0,0,0,0,0,0,1,0,0,1
5671,2017,22831,1,5.0,18.9,1197.0,82.0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
4524,2013,75348,1,5.0,25.8,1498.0,98.6,0,0,0,1,0,0,0,0,0,0,1,0,0,1
4756,2016,16725,1,5.0,18.6,1197.0,81.83,0,0,1,0,0,0,0,0,0,0,0,0,1,1
